id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2023-01-18 13:25:07+00:00,ABC,"Over the last two months, following lengthy periods of detention in Russia, Americans Brittney Griner, Sarah Krivanek and Taylor Dudley were all allowed to return home — but Alabama native David Barnes continues to be held by Russian authorities. https://t.co/FmqlyajVOU",,36,14,9
1,2023-01-16 22:23:03+00:00,ABC,"Emergency crews have rescued 39 people, including six children, who were buried under the rubble caused by a missile strike on a high-rise apartment complex in the Ukrainian city of Dnipro.

See live updates on the Russia-Ukraine war: https://t.co/yfQ3ZorTi9",,77,14,9
2,2023-01-14 14:18:41+00:00,ABC,"Kyiv's mayor said explosions occurred in districts on both banks in the city as Russia launched missile attacks into Ukraine's capital.

LIVE UPDATES: https://t.co/umXusozyfD",,42,20,10
3,2023-01-13 13:23:00+00:00,ABC,"Russia has launched waves of missiles and drones at Ukraine's energy infrastructure since October in an attempt to envelop an entire nation in cold and darkness.

@BrittClennett is in Borodyanka as Putin wages a war on the Ukrainian people’s power supply. https://t.co/h2skgGeH3u https://t.co/PsSPfwP8K1",https://pbs.twimg.com/media/FmWhE-AaYAE7tby.jpg,34,22,9
4,2023-01-08 07:35:50+00:00,ABC,"More than a million Russians have called, texted or visited the website of a Ukrainian hotline that allows them to surrender, with many seeking a way to avoid going to war, since Russia's full-scale invasion of Ukraine began, according to the hotline. https://t.co/nWwSxct3rX",,221,82,19
5,2023-01-05 09:59:06+00:00,ABC,"On the eve of the Orthodox Christmas, Patriarch Kirill of Moscow and All Russia calls for the establishment of a Christmas truce in the zone of military activities. https://t.co/TsWsz7ht3U https://t.co/YyZiwZtTZy",https://pbs.twimg.com/media/Fls0bK7WAAABqQq?format=jpg&name=large,50,17,17
6,2023-01-03 22:50:03+00:00,ABC,"More than a million Russians have called, texted or visited the website of a Ukrainian hotline that allows them to surrender, with many seeking a way to avoid going to war, since Russia's invasion of Ukraine began, according to the hotline. https://t.co/s2xAdyBm0c https://t.co/yPPSArl6ga",https://pbs.twimg.com/media/FllRs7cXoAAqnzL?format=jpg&name=large,264,89,12
7,2023-01-03 20:42:42+00:00,ABC,Ukrainian President Volodymyr Zelenskyy says Russia is preparing to step up its attacks on Ukraine using Iranian-made exploding drones. https://t.co/iVKzhgyMZh,,61,33,10
8,2023-01-03 13:21:03+00:00,ABC,"More than a million Russians have called, texted or visited the website of a Ukrainian hotline that allows them to surrender, with many seeking a way to avoid going to war, since Russia's full-scale invasion of Ukraine began, according to the hotline. https://t.co/7dg1Xdfjpq",,211,67,16
9,2022-12-31 17:19:46+00:00,ABC,At least one person has been killed and seven people have been injured after Russia launched a barrage of missiles on Kyiv on New Year’s Eve. https://t.co/DMR09FaQyh,,72,32,19
10,2022-12-29 08:05:14+00:00,ABC,"Marking the four-year anniversary of Paul Whelan's detention in Russia, the Biden administration vowed on Wednesday to continue efforts to bring the former Marine home. https://t.co/YKu1XaPIu9 https://t.co/s0swSWGYsj",https://pbs.twimg.com/media/FlIXPEJXoAAsEgc?format=jpg&name=large,94,30,20
11,2022-12-28 20:16:33+00:00,ABC,"Marking the four-year anniversary of Paul Whelan's detention in Russia, the Biden administration vowed on Wednesday to continue efforts to bring the former Marine home. https://t.co/wl3MZaqxLn https://t.co/cQ0QAX9fAM",https://pbs.twimg.com/media/FlF1Bu_XgAAR8zK?format=jpg&name=large,115,37,32
